url,name
/cinema/14000?poi=52457852,头桥影剧院多功能厅
/cinema/167?poi=1461690,龙之梦影城(龙之梦购物中心)
/cinema/16011?poi=384957,天山电影院
/cinema/1977?poi=1541443,天骄电影院
/cinema/25611?poi=180687751,唐德国际影城(红土店)
/cinema/15909?poi=90452725,泰日影剧院
/cinema/25335?poi=175314549,泰禾影城(上海118店)
/cinema/8219?poi=6096419,太平洋国际影城(松江店)
/cinema/9511?poi=6821969,太禾影城(浦江店)
/cinema/25320?poi=174916263,太禾影城(江园店)
/cinema/27338?poi=193691493,太禾影城(东方懿德城店)
/cinema/25631?poi=181454951,苏宁尊享影城(青浦店)
/cinema/27148?poi=193638484,苏宁影城(上海五角场店)
/cinema/15914?poi=96020329,苏宁影城(奉贤店)
/cinema/219?poi=80370,四平电影院(大连西路店)
/cinema/14038?poi=51176766,书院影剧院
/cinema/13372?poi=482107,市政协礼堂
/cinema/224?poi=1549237,世纪友谊影城(沪闵路店)
/cinema/25650?poi=182025951,世记欣禾电影院
/cinema/221?poi=1549944,世纪仙霞影城(百联西郊店)
/cinema/5923?poi=2466214,世纪天虹影城(朋联店)
/cinema/7354?poi=3311046,世纪沪星影城(顺恒广场店)
/cinema/16308?poi=112362631,世纪虹旭影城(控江旭辉MALL店)
/cinema/15458?poi=93921678,时代影城(万乐城)
/cinema/10395?poi=5621052,时代凤凰国际影城(良华店)
/cinema/24950?poi=165606412,晟嘉国际影城
/cinema/13724?poi=67033795,上影河马国际影城
/cinema/27731?poi=1722457411,上影当代影城(丽宝乐园店)
/cinema/23984?poi=161054655,上影CMC影城(汇阳广场)
/cinema/123?poi=418844,上影CGV莘庄影城(仲盛世界店)
/cinema/165?poi=1498975,上影CGV(大宁影城店)
/cinema/24422?poi=164546192,上海政法学院庸夫楼218剧场
/cinema/24423?poi=164536423,上海应用技术大学
/cinema/24106?poi=162905573,上海唐德国际影城
/cinema/24424?poi=164544794,上海视觉艺术学院图文大剧场
/cinema/24337?poi=164396582,上海市松江区QCC激光影城
/cinema/24425?poi=164538424,上海师范大学大剧院
/cinema/13342?poi=2537410,上海商城剧院
/cinema/13577?poi=50813824,上海科技影城
/cinema/24428?poi=164543000,上海交通大学菁菁堂
/cinema/10566?poi=4133693,上海翰金影城
/cinema/24537?poi=164789937,上海海事大学大礼堂
/cinema/15841?poi=90087543,上海国际电影节
/cinema/17166?poi=152392289,上海枫泾天娱影城
/cinema/15181?poi=91478876,上海东融国际影城
/cinema/25174?poi=167103522,上海电力学院大礼堂(浦东校区)
/cinema/24430?poi=164534629,上海电机学院小剧场影院
/cinema/25801?poi=184182625,上海第二工业大学
/cinema/24431?poi=164533437,上海财经大学大礼堂
/cinema/16080?poi=105858943,上海7+影城(大润发华漕店)
/cinema/17260?poi=156426907,上岸影城(金山店)
/cinema/24730?poi=165252924,杉达学院
/cinema/1638?poi=1541439,三林影剧院
/cinema/24399?poi=164545602,三林大光明dfc影城
/cinema/2436?poi=1541455,日晖电影院
/cinema/164?poi=1052332,曲阳影都
/cinema/125?poi=424480,庆春电影城
/cinema/14041?poi=50178926,青松城荟萃厅影院
/cinema/13374?poi=1627147,青村影剧院
/cinema/4584?poi=483907,汽车梦工场汽车电影院
/cinema/27492?poi=195975965,汽车城瑞立影院
/cinema/6244?poi=2553078,普陀横店电影城
/cinema/24205?poi=163360366,普陀大光明影城
/cinema/26296?poi=189981419,帕加尼激光影城(虹口店)
/cinema/14042?poi=52609371,泥城影剧院
/cinema/156?poi=1436374,南桥电影院
/cinema/25114?poi=165606011,幕画国际电影城(安亭财富广场北区)
/cinema/27001?poi=192581606,木槿校园影城(交大店)
/cinema/23968?poi=160795434,明星时代影城(朱家角店)
/cinema/17146?poi=152307943,明星时代影城(上海淞南店)
/cinema/24395?poi=164612368,明星时代影城(青浦世纪联华店)
/cinema/16288?poi=111917679,明星时代影城(上海南翔店)
/cinema/25334?poi=175314513,明星时代影城(上海富荟店)
/cinema/7613?poi=6850067,米格国际影城(上海嘉松中路店)
/cinema/16021?poi=90644466,美影国际影城(嘉定商城店)
/cinema/6598?poi=3278216,美亚影城(永润广场店)
/cinema/24871?poi=389178,美琪大戏院
/cinema/160?poi=1512714,梅陇文化馆
/cinema/16838?poi=150351850,满丰国际影城
/cinema/12745?poi=40701267,麦希上海飞航店
/cinema/14656?poi=78157695,卢米埃(紫荆广场)
/cinema/15979?poi=95716946,卢米埃影城(大融城店)
/cinema/27863?poi=1675232146,邻嘉影院(新百安店)
/cinema/25794?poi=179308557,邻嘉影院
/cinema/13375?poi=2649754,练塘影剧院
/cinema/26879?poi=191501842,联和聚聚影院(车墩店)
/cinema/9068?poi=6159275,连城国际影城(连城广场店)
/cinema/27984?poi=1479496175,利美华胤影城
/cinema/24427?poi=164538026,立信会计金融学院
/cinema/4574?poi=411641,兰馨.悦立方
/cinema/218?poi=1549973,兰生典尚影院
/cinema/14039?poi=50977171,康桥影剧院
/cinema/5482?poi=2411473,巨影国际影城(吴中路店)
/cinema/8810?poi=5177202,金逸院线施湾影城(施湾店)
/cinema/24351?poi=164475797,金逸影城MX4D(光美上海青浦满天星店)
/cinema/113?poi=445819,金逸国际电影城(中环店)
/cinema/20?poi=1171885,金逸影城(上海张江店)
/cinema/1642?poi=1469758,金逸影城(上海龙之梦IMAX店)
/cinema/53?poi=1044850,金逸国际电影城(海上海店)
/cinema/9188?poi=4435283,金谊华夏影城(三林店)
/cinema/24516?poi=164792206,金谊华夏影城(上南路店)
/cinema/15518?poi=1541550,金山工业区-影剧院
/cinema/6206?poi=2532171,金球国际影城(上丰路店)
/cinema/13373?poi=1626979,金汇影剧院
/cinema/16992?poi=150582386,金海影城(海上明珠曹路店)
/cinema/144?poi=80374,金地影院
/cinema/5372?poi=426356,江川剧场(江川路店)
/cinema/24429?poi=164541999,建桥学院
/cinema/161?poi=47716,嘉定影剧院
/cinema/8656?poi=5261918,嘉定同济横店电影城
/cinema/16482?poi=115462606,嘉定宝龙横店电影城
/cinema/171?poi=38458,黄浦剧场
/cinema/25428?poi=177845153,寰映影城(静安大融城1号楼)
/cinema/14978?poi=96320825,环球国际影城(崇明店)
/cinema/1091?poi=1215875,华谊兄弟影院(长风店)
/cinema/24400?poi=164541601,华谊兄弟电影中心
/cinema/24265?poi=163984354,华夏万幕影城(九亭贝尚湾店)
/cinema/24053?poi=162341120,华夏万幕国际影城(成山路巴黎春天)
/cinema/25927?poi=186338353,华夏巨幕影城(美兰湖店)
/cinema/24514?poi=164785660,华夏久金影城
/cinema/16741?poi=138147158,华夏晶华影城
/cinema/8860?poi=5970251,华夏丰尚国际影城
/cinema/5859?poi=2462382,华士达东方影城(徐汇店)
/cinema/15882?poi=98196975,华士达影城(浦江店)
/cinema/26431?poi=190734966,华士达影城(浦航路店)
/cinema/24736?poi=165282016,华士达影城(漕宝店)
/cinema/13769?poi=60634586,华士达影城(宝山店)
/cinema/24441?poi=164544994,华东理工大学800人剧场
/cinema/9462?poi=5240554,华彩弘歌鑫都影城(鑫都店)
/cinema/163?poi=1549996,沪西电影院(万航渡路店)(装修中)
/cinema/215?poi=1512720,沪北电影院(共和新路店)
/cinema/15996?poi=99885897,鸿纳国际影城
/cinema/25094?poi=165628244,红星电影世界上海张江绿地店
/cinema/24648?poi=165012232,红星电影世界(吴中路旗舰店)
/cinema/25258?poi=165247185,红星电影世界上海汶水路超级店
/cinema/26023?poi=187970903,红星电影世界(上海越界世博店)
/cinema/27897?poi=1775264799,红星电影世界(上海嘉定信业店)
/cinema/27801?poi=1743862712,红星电影世界(上海虹桥世界中心店)
/cinema/28129?poi=1830491813,红星电影世界(上海百联曲阳店)
/cinema/27987?poi=673119349,红毯影城(上海北蔡店)
/cinema/6272?poi=2564731,红树林影院(长阳路店)
/cinema/24839?poi=165490524,红石影城(上海惠南店)
/cinema/234?poi=1573102,和平影都(来福士广场店)
/cinema/14036?poi=52519620,航头影剧院
/cinema/26129?poi=189273239,海上明珠影城(紫竹园店)
/cinema/24635?poi=165006265,海上明珠国际影城(联洋广场B区)
/cinema/229?poi=384951,国泰电影院(淮海中路店)
/cinema/23647?poi=158908420,光影车间(静安店)
/cinema/2242?poi=2492009,格里芬汽车影城(曲吴路店)
/cinema/14493?poi=82353804,奉贤宝龙横店IMAX影城
/cinema/16839?poi=150068022,斐王国际影城
/cinema/17202?poi=152580150,菲林山谷影城
/cinema/23681?poi=159115576,耳东影城(维璟广场)
/cinema/13187?poi=40987401,朵云轩杜比全景声影城
/cinema/24501?poi=87059961,东华大学锦绣会堂
/cinema/2026?poi=1512721,东宫剧院(平凉路)
/cinema/23621?poi=158765001,东方渔人码头华夏影城
/cinema/26101?poi=189461838,东方明珠CINEX
/cinema/139?poi=1549956,地中海影城
/cinema/25946?poi=186503553,德信影城(星光耀店)
/cinema/25398?poi=177596157,德信影城(昇PARK店)
/cinema/25649?poi=182027151,德信影城(吉嘉K-PLAZA)
/cinema/16384?poi=118444731,德信影城(巴黎春天店)
/cinema/51?poi=54627,大悦城新恒星影城(大悦城店)
/cinema/150?poi=43581,大上海电影院
/cinema/1978?poi=54376,大光明影城(朱泾店)
/cinema/64?poi=477117,大光明影城(七宝店)
/cinema/25800?poi=183995556,大光明影城(恒都广场店)
/cinema/7249?poi=4542946,大光明电影院(儿艺店)
/cinema/10947?poi=40254849,大光明新国际影城(青浦吾悦店)
/cinema/17360?poi=157260241,大光明太禾影城(松江店)
/cinema/16751?poi=150016801,大光明丽星影城(奉贤店)
/cinema/16953?poi=150015802,大光明丽星汇影城(杨浦店)
/cinema/28111?poi=890153616,大光明丽星VIP影城(川沙金汇广场店)
/cinema/25028?poi=165628232,大光明丽星VIP影城(昌里店)
/cinema/26515?poi=191088920,大光明丽星VIP影城(博山路店)
/cinema/8218?poi=2459885,大光明丽盛影城(新大陆店)
/cinema/228?poi=384950,大光明电影院(南京西路店)
/cinema/13075?poi=40237408,大光明电影院(宝山店)
/cinema/16617?poi=135611201,大光明DFC影城(三林长清店)
